ProductID,ChannelID,LocationID,Method,Period,StartDate,EndDate,Type,Qty,Level
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/02/2025,23/03/2025,1,424.46518,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/03/2025,23/04/2025,1,451.69583,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/04/2025,23/05/2025,1,537.6436,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/05/2025,23/06/2025,1,710.12854,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/06/2025,23/07/2025,1,528.8288,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/07/2025,23/08/2025,1,500.11163,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/08/2025,23/09/2025,1,490.48495,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/09/2025,23/10/2025,1,518.721,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/10/2025,23/11/2025,1,636.3414,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/11/2025,23/12/2025,1,529.18726,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/12/2025,23/01/2026,1,488.73816,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/01/2026,23/02/2026,1,483.6828,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/02/2026,23/03/2026,1,610.811,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/03/2026,23/04/2026,1,610.2438,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/04/2026,23/05/2026,1,507.15353,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/05/2026,23/06/2026,1,482.42612,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/06/2026,23/07/2026,1,511.14273,111
AztecWrap,OwnWebsite,StoreAmsterdamCenter,XGBoost,Monthly,24/07/2026,23/08/2026,1,636.3414,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/02/2025,23/03/2025,1,477.5846,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/03/2025,23/04/2025,1,466.26453,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/04/2025,23/05/2025,1,477.9748,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/05/2025,23/06/2025,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/06/2025,23/07/2025,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/07/2025,23/08/2025,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/08/2025,23/09/2025,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/09/2025,23/10/2025,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/10/2025,23/11/2025,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/11/2025,23/12/2025,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/12/2025,23/01/2026,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/01/2026,23/02/2026,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/02/2026,23/03/2026,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/03/2026,23/04/2026,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/04/2026,23/05/2026,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/05/2026,23/06/2026,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/06/2026,23/07/2026,1,477.6197,111
AztecWrap,Pickup,StoreAmsterdamCenter,XGBoost,Monthly,24/07/2026,23/08/2026,1,477.6197,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/02/2025,23/03/2025,1,419.4579,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/03/2025,23/04/2025,1,478.9572,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/04/2025,23/05/2025,1,750.2858,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/05/2025,23/06/2025,1,875.2932,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/06/2025,23/07/2025,1,537.77875,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/07/2025,23/08/2025,1,420.7236,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/08/2025,23/09/2025,1,479.5747,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/09/2025,23/10/2025,1,748.6386,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/10/2025,23/11/2025,1,792.8415,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/11/2025,23/12/2025,1,537.36444,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/12/2025,23/01/2026,1,432.61337,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/01/2026,23/02/2026,1,486.90936,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/02/2026,23/03/2026,1,1006.5689,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/03/2026,23/04/2026,1,787.48706,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/04/2026,23/05/2026,1,566.60614,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/05/2026,23/06/2026,1,414.2549,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/06/2026,23/07/2026,1,431.5769,111
AztecWrap,Thuisbezorgd,StoreAmsterdamCenter,XGBoost,Monthly,24/07/2026,23/08/2026,1,445.62527,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/02/2025,23/03/2025,1,500.9418,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/03/2025,23/04/2025,1,438.08694,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/04/2025,23/05/2025,1,477.10443,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/05/2025,23/06/2025,1,575.1996,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/06/2025,23/07/2025,1,722.246,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/07/2025,23/08/2025,1,507.57074,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/08/2025,23/09/2025,1,500.4509,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/09/2025,23/10/2025,1,438.02493,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/10/2025,23/11/2025,1,436.0344,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/11/2025,23/12/2025,1,468.36325,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/12/2025,23/01/2026,1,709.81573,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/01/2026,23/02/2026,1,816.5643,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/02/2026,23/03/2026,1,542.0766,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/03/2026,23/04/2026,1,432.8733,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/04/2026,23/05/2026,1,449.93796,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/05/2026,23/06/2026,1,616.7712,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/06/2026,23/07/2026,1,712.3715,111
AztecWrap,OwnWebsite,StoreAmsterdamZuid,XGBoost,Monthly,24/07/2026,23/08/2026,1,535.28827,111
AztecWrap,Pickup,StoreAmsterdamZuid,XGBoost,Monthly,24/02/2025,23/03/2025,1,563.69556,111
AztecWrap,Pickup,StoreAmsterdamZuid,XGBoost,Monthly,24/03/2025,23/04/2025,1,385.3313,111
